Time	Position	Velocity	Acceleration
1.40625	2.367826462	4.436782837	-35.46484375
1.4375	2.506475925	3.32850647	-66.05615234
1.46875	2.610491753	1.264251709	-51.13427734
1.5	2.649999619	-0.333694458	-111.0483398
1.53125	2.639571667	-3.803955078	-165.0732422
1.5625	2.520698071	-8.962493896	-48.00891113
1.59375	2.240620136	-10.46277237	-84.28222656
1.625	1.9136585	-13.09659195	43.95397949
1.65625	1.504390001	-11.72303009	94.93920898
1.6875	1.138045311	-8.75617981	-27.76196289
1.71875	0.864414692	-9.62374115	-51.8364563
1.75	0.563672781	-11.24363041	-38.36434937
1.78125	0.212309331	-12.44251633	3.704803467
1.8125	-0.176519305	-12.32674122	-31.42520142
1.84375	-0.561729968	-13.30877876	61.47943115
1.875	-0.977629304	-11.38754654	57.13952637
1.90625	-1.333490133	-9.60193634	65.82434082
1.9375	-1.633550644	-7.54492569	-45.82568359
1.96875	-1.869329572	-8.976978302	-17.94934082
2	-2.149860144	-9.537895203	-65.7956543
2.03125	-2.447919369	-11.5940094	-1.814941406
2.0625	-2.810232162	-11.65072632	82.96337891
2.09375	-3.17431736	-9.058120728	111.5524902
2.125	-3.457383633	-5.572105408	27.06274414
2.15625	-3.631511927	-4.726394653	136.567627
2.1875	-3.77921176	-0.458656311	-0.239990234
2.21875	-3.793544769	-0.466156006	69.23071289
2.25	-3.808112144	1.697303772	85.5534668
2.28125	-3.755071402	4.370849609	154.6174316
2.3125	-3.618482351	9.202644348	76.33569336
2.34375	-3.330899715	11.58813477	116.3305664
2.375	-2.968770504	15.22346497	27.12646484
2.40625	-2.493037224	16.07116699	36.99902344
2.4375	-1.990813255	17.22738647	2.911621094
2.46875	-1.452457428	17.31837463	82.6741333
2.5	-0.911258221	19.9019413	33.72943115
2.53125	-0.289322555	20.95598602	12.52423096
2.5625	0.365552008	21.34736824	-9.774719238
2.59375	1.032657266	21.04190826	20.25622559
2.625	1.690216899	21.67491531	-118.8262939
2.65625	2.367558002	17.96159363	-132.3549805
2.6875	2.928857803	13.82550049	-89.53808594
2.71875	3.360904694	11.0274353	-113.8520508
2.75	3.705512047	7.469558716	-24.88330078
2.78125	3.938935757	6.691955566	-138.6083984
2.8125	4.148059368	2.360443115	-154.324707
2.84375	4.221823215	-2.462203979	-69.53662109
2.875	4.144879341	-4.635223389	8.888427734
2.90625	4.00002861	-4.357460022	-23.63134766
2.9375	3.863857985	-5.095939636	-132.2380371
2.96875	3.704609871	-9.228378296	-29.24267578
3	3.416223049	-10.14221191	-107.1716309
3.03125	3.099278927	-13.49132538	-45.06689453
3.0625	2.677675009	-14.89966583	-11.31591797
3.09375	2.212060452	-15.25328827	-13.53173828
3.125	1.735395193	-15.67615509	-51.67901611
3.15625	1.245515347	-17.29112434	-71.79211426
3.1875	0.705167711	-19.53462791	72.42108154
3.21875	0.094710588	-17.27146912	62.5144043
3.25	-0.445022821	-15.31789398	0.835205078
3.28125	-0.923707008	-15.29179382	74.0916748
3.3125	-1.401575565	-12.97642899	78.94140625
3.34375	-1.807088971	-10.50951004	34.19543457
3.375	-2.13551116	-9.44090271	231.9824219
3.40625	-2.43053937	-2.191452026	128.2121582
3.4375	-2.499022245	1.815177917	84.23071289
3.46875	-2.442297935	4.447387695	37.48535156
3.5	-2.30331707	5.618804932	36.76477051
3.53125	-2.127729416	6.76770401	61.48583984
3.5625	-1.916238666	8.689136505	-32.47229004
3.59375	-1.64470315	7.674377441	44.90063477
3.625	-1.404878855	9.077522278	-54.81323242
3.65625	-1.121206284	7.364608765	135.7838745
3.6875	-0.89106226	11.60785484	-12.8963623
3.71875	-0.528316796	11.20484352	-3.219024658
3.75	-0.178165436	11.104249	5.557312012
3.78125	0.168842345	11.277915	-99.44345093
3.8125	0.521277189	8.170307159	-96.28295898
3.84375	0.776599288	5.161464691	-27.12304688
3.875	0.93789506	4.313869476	-11.79724121
3.90625	1.072703481	3.945205688	19.05102539
3.9375	1.195991158	4.540550232	-37.08203125
3.96875	1.337883353	3.381736755	32.04663086
4	1.443562627	4.38319397	-56.47839355
4.03125	1.580537438	2.618244171	12.00683594
4.0625	1.662357569	2.993457794	29.31616211
4.09375	1.755903125	3.90958786	-3.462280273
4.125	1.878077745	3.801391602	-66.61035156
4.15625	1.996871233	1.719818115	-18.32470703
4.1875	2.050615549	1.147171021	-48.8996582
4.21875	2.086464643	-0.380943298	-90.53649902
4.25	2.074560165	-3.210208893	-37.46008301
4.28125	1.974241138	-4.380836487	-70.58679199
4.3125	1.837339997	-6.586673737	57.52270508
4.34375	1.631506443	-4.789089203	-22.37902832
4.375	1.481847405	-5.488433838	-45.41296387
4.40625	1.310333848	-6.907588959	36.00622559
4.4375	1.094471693	-5.782394409	-65.36517334
4.46875	0.913771868	-7.825056076	-41.80459595
4.5	0.669238865	-9.131449699	-86.121521
4.53125	0.383881062	-11.82274723	-12.48248291
4.5625	0.014420211	-12.21282482	54.24591064
4.59375	-0.367230564	-10.51764011	23.2885437
4.625	-0.695906818	-9.789873123	53.31365967
4.65625	-1.001840353	-8.123821259	46.76721191
4.6875	-1.255709767	-6.662345886	33.17590332
4.71875	-1.463908076	-5.625598907	-8.849975586
4.75	-1.639708042	-5.902160645	-51.38525391
4.78125	-1.824150562	-7.507949829	93.54956055
4.8125	-2.058773994	-4.584526062	29.08300781
4.84375	-2.202040434	-3.675682068	83.32006836
4.875	-2.316905499	-1.071929932	135.638916
4.90625	-2.350403309	3.166786194	47.75976563
4.9375	-2.25144124	4.65927887	55.22949219
4.96875	-2.105838776	6.3852005	64.65930176
5	-1.90630126	8.40580368	63.32775879
5.03125	-1.643619895	10.38479614	19.20141602
5.0625	-1.319095016	10.98484039	4.24420166
5.09375	-0.975818753	11.11747169	-59.57504272
5.125	-0.628397763	9.25575161	-149.2165222
5.15625	-0.339155525	4.592735291	-28.88224792
5.1875	-0.195632547	3.690165043	-34.36398315
5.21875	-0.08031489	2.616290569	71.9443512
5.25	0.001444191	4.864551544	-40.71557617
5.28125	0.153461426	3.592189789	-32.88156128
5.3125	0.265717357	2.564640999	-11.92489624
5.34375	0.345862389	2.191987991	-12.95999146
5.375	0.414362013	1.786988258	41.09954834
5.40625	0.470205396	3.071349144	-51.94943237
5.4375	0.566185057	1.447929382	-47.79217529
5.46875	0.61143285	-0.045576096	-28.17449951
5.5	0.610008597	-0.926029205	-34.44445801
5.53125	0.581070185	-2.002418518	-86.88320923
5.5625	0.518494606	-4.717518806	-13.48883057
5.59375	0.371072143	-5.139044762	-42.80639648
5.625	0.210476995	-6.476744652	-22.6809845
5.65625	0.008078724	-7.185525417	-41.54638672
5.6875	-0.216468945	-8.483850002	-40.96907043
5.71875	-0.481589258	-9.764133453	26.14910889
5.75	-0.786718428	-8.946973801	10.11175537
5.78125	-1.066311359	-8.630981445	110.8630371
5.8125	-1.33602953	-5.166511536	-28.58154297
5.84375	-1.497483015	-6.059684753	8.122924805
5.875	-1.686848164	-5.805843353	-5.328857422
5.90625	-1.868280768	-5.972370148	-24.55578613
5.9375	-2.054917336	-6.739738464	36.50537109
5.96875	-2.265534163	-5.598945618	81.26245117
6	-2.440501213	-3.059494019	19.15063477
6.03125	-2.536110401	-2.461036682	86.21630859
6.0625	-2.613017797	0.233222961	86.04785156
6.09375	-2.60572958	2.922218323	34.49511719
6.125	-2.514410257	4.000190735	55.03173828
6.15625	-2.389404297	5.719932556	-6.669433594
6.1875	-2.210656404	5.511512756	69.16748047
6.21875	-2.038421631	7.672996521	90.36804199
6.25	-1.79864049	10.49699783	-18.20422363
6.28125	-1.470609307	9.928115845	35.13238525
6.3125	-1.160355687	11.02600288	102.6812134
6.34375	-0.815793097	14.2347908	23.18286133
6.375	-0.370955884	14.95925522	55.43988037
6.40625	0.096520841	16.69175148	-32.35638428
6.4375	0.618138075	15.68061447	-6.096435547
6.46875	1.108157277	15.49010086	-45.43395996
6.5	1.592222929	14.07028961	-82.89672852
6.53125	2.031919479	11.47976685	-33.61474609
6.5625	2.390662193	10.42930603	-72.67626953
6.59375	2.716578007	8.158172607	-94.24804688
6.625	2.971520901	5.212921143	-111.4658203
6.65625	3.134424686	1.729614258	45.11816406
6.6875	3.188475132	3.139556885	-104.4587402
6.71875	3.286586285	-0.124778748	-86.39233398
6.75	3.282686949	-2.824539185	-100.9106445
6.78125	3.194420099	-5.977996826	10.31274414
6.8125	3.007607698	-5.655723572	-13.83447266
6.84375	2.830866337	-6.088050842	-31.13085938
6.875	2.640614748	-7.060890198	-57.75952148
6.90625	2.419961929	-8.865875244	11.07910156
6.9375	2.142903328	-8.51965332	-31.23242188
6.96875	1.876664162	-9.495666504	-27.88574219
7	1.579924583	-10.36709595	-61.32702637
7.03125	1.255952835	-12.28356552	69.20147705
7.0625	0.872091413	-10.12101936	68.80062866
7.09375	0.555809557	-7.970999718	19.12687683
7.125	0.306715816	-7.373284817	-5.594390869
7.15625	0.076300666	-7.548109531	63.47291565
7.1875	-0.159577757	-5.564580917	-12.33932495
7.21875	-0.333470911	-5.950184822	47.49636841
7.25	-0.519414186	-4.465923309	78.96893311
7.28125	-0.65897429	-1.99814415	34.19836426
7.3125	-0.721416295	-0.929445267	-22.02478027
7.34375	-0.750461459	-1.61771965	-81.0748291
7.375	-0.801015198	-4.15130806	-16.61602783
7.40625	-0.930743575	-4.670558929	31.72265625
7.4375	-1.076698542	-3.679225922	62.40283203
7.46875	-1.191674352	-1.729137421	11.55480957
7.5	-1.245709896	-1.368049622	3.590087891
7.53125	-1.288461447	-1.255859375	-14.67321777
7.5625	-1.327707052	-1.71439743	83.74084473
7.59375	-1.381281972	0.902503967	57.05847168
7.625	-1.353078723	2.685581207	31.81640625
7.65625	-1.26915431	3.679843903	40.00976563
7.6875	-1.154159188	4.930149078	35.01879883
7.71875	-1.00009203	6.024486542	27.80267334
7.75	-0.811826825	6.893320084	-73.21704102
7.78125	-0.596410573	4.605287552	16.87432861
7.8125	-0.452495337	5.132610321	-54.54270935
7.84375	-0.292101264	3.428150654	23.02886963
7.875	-0.184971556	4.14780283	8.610824585
7.90625	-0.055352718	4.416891098	40.60586548
7.9375	0.082675129	5.685824394	-63.20568848
7.96875	0.260357141	3.710646629	-36.67169189
8	0.376314849	2.564656258	-27.01010132
8.03125	0.456460357	1.720590591	-28.95349121
8.0625	0.510228813	0.815793991	64.64001465
8.09375	0.535722375	2.835794449	0.505126953
8.125	0.624340951	2.851579666	-37.99707031
8.15625	0.713452816	1.664171219	-31.52154541
8.1875	0.765458167	0.679122925	11.02392578
8.21875	0.786680758	1.023620605	-27.61553955
8.25	0.818668902	0.160634995	-4.676086426
8.28125	0.823688745	0.014507294	-16.57067871
8.3125	0.824142098	-0.503326416	30.89312744
8.34375	0.808413148	0.462083817	11.25488281
8.375	0.822853267	0.813798904	-61.95239258
8.40625	0.848284483	-1.122213364	45.14599609
8.4375	0.813215315	0.288599014	39.41680908
8.46875	0.822234035	1.520374298	-61.03491211
8.5	0.869745731	-0.386966705	57.92364502
8.53125	0.857653022	1.423147202	-82.73510742
8.5625	0.902126372	-1.162324905	-29.31170654
8.59375	0.865803719	-2.078315735	6.297851563
8.625	0.800856352	-1.881507874	-56.51928711
8.65625	0.742059231	-3.647735596	24.79223633
8.6875	0.628067493	-2.87297821	-50.48864746
8.71875	0.538286924	-4.450748444	28.35876465
8.75	0.399201035	-3.564537048	30.46902466
8.78125	0.287809253	-2.612380028	-76.13110352
8.8125	0.206172377	-4.991477013	-36.10025024
8.84375	0.05018872	-6.119609833	-1.14465332
8.875	-0.141049087	-6.155380249	-28.03204346
8.90625	-0.33340472	-7.031381607	17.39532471
8.9375	-0.553135395	-6.48777771	102.2261963
8.96875	-0.755878448	-3.293209076	-52.81396484
9	-0.858791232	-4.943645477	-19.2401123
9.03125	-1.013280153	-5.544898987	22.14367676
9.0625	-1.186558247	-4.852909088	31.64819336
9.09375	-1.338211656	-3.863903046	-29.59033203
9.125	-1.458958626	-4.788600922	24.92199707
9.15625	-1.608602405	-4.009788513	62.6583252
9.1875	-1.733908296	-2.051715851	58.83972168
9.21875	-1.798024416	-0.212974548	147.168457
9.25	-1.804679871	4.386039734	-17.96374512
9.28125	-1.667616129	3.824672699	-25.52429199
9.3125	-1.548095107	3.027038574	21.38806152
9.34375	-1.453500152	3.695415497	-63.41821289
9.375	-1.338018417	1.713596344	-9.316162109
9.40625	-1.284468532	1.422466278	-14.69262695
9.4375	-1.24001646	0.963321686	46.26416016
9.46875	-1.209912658	2.409076691	10.20825195
9.5	-1.134629011	2.728084564	45.29504395
9.53125	-1.049376369	4.143554688	144.9042969
9.5625	-0.919890285	8.671813965	-55.70608521
9.59375	-0.648896098	6.930998802	-11.69836426
9.625	-0.432302386	6.565424919	-14.54859924
9.65625	-0.227132857	6.110781193	103.6434631
9.6875	-0.036170945	9.349639416	-5.697128296
9.71875	0.256005287	9.171604156	-47.34051514
9.75	0.542617917	7.692213058	-49.01257324
9.78125	0.782999575	6.160570145	57.91522217
9.8125	0.975517392	7.970420837	-64.86901855
9.84375	1.224593043	5.943264008	-90.27575684
9.875	1.410320044	3.122146606	-111.8048096
9.90625	1.507887125	-0.371753693	-15.67944336
9.9375	1.496269822	-0.861736298	-47.03613281
