Time	FINAL TIME	INITIAL TIME	SAVEPER	TIME STEP	x1	x2	x3	y1	y2	y3	γ11	δ1	δ2	δ3	ε1	ε2	ε3	ζ1	η1	λ1	λ2	λ3	λ7	λ8	λ9	ξ1
21			1		-13.5301	-12.1499	-9.48775	-32.3824	-26.4469	-29.7182									-27.8706							-10.4633
22			1		-12.7445	-2.30429	-11.0054	-12.6036	-13.9842	-12.1503									-15.8741							-6.57314
23			1		9.88922	21.2357	4.57949	32.3572	23.989	27.082									31.5565							9.84831
24			1		6.15306	4.54174	14.8867	41.258	37.793	43.1593									43.7166							13.7354
25			1		5.6275	5.54201	4.48554	9.95473	16.0005	3.01429									8.91434							3.5684
26			1		-4.21589	-5.49824	-6.62333	-9.95028	-3.88888	-12.0562									-13.0296							-6.10818
27			1		23.2535	24.0088	31.318	81.131	89.2212	73.5663									82.7046							25.8347
28			1		16.9638	3.89552	16.9034	50.7624	49.9801	53.5731									52.8175							14.7829
29			1		-18.5653	-20.1141	-20.0357	-60.5622	-61.5415	-60.971									-59.506							-19.6053
30			1		15.8154	16.6207	16.1399	50.6359	47.5963	48.0025									48.2236							15.134
31			1		-18.7192	-22.5725	-16.927	-32.6997	-44.4087	-43.4562									-44.8552							-17.8353
32			1		3.4402	4.25233	14.8105	19.9362	17.6768	25.3757									21.4689							5.45242
33			1		54.6036	48.0747	51.6039	144.422	134.176	133.978									137.376							45.6322
34			1		-0.703663	5.42251	0.531499	16.3382	10.8177	13.1308									9.75608							4.49552
35			1		-14.1003	-4.78683	-10.6314	-37.2893	-35.8365	-28.1596									-33.8627							-10.4649
36			1		-8.8958	-8.94043	-7.18654	-7.47848	-10.9913	-13.4328									-11.7897							-7.3761
37			1		-13.2801	-4.83718	-9.92625	-20.3458	-18.5478	-6.74601									-14.7575							-6.44314
38			1		7.06946	3.64985	0.604172	-3.53258	10.968	14.8904									8.19925							0.77234
39			1		10.203	6.32053	18.0958	36.7904	40.6368	33.7581									32.7337							11.0044
40			1		9.82308	8.75909	8.95912	23.6259	16.391	28.9612									26.3445							8.29094
41			1		13.1296	10.6486	12.5132	30.6344	34.5714	32.403									32.5236							11.5908
42			1		-51.152	-37.0838	-54.1021	-141.814	-129.828	-136.144									-137.176							-48.773
43			1		-10.5061	1.28235	-8.39634	-19.9049	-27.9748	-24.064									-23.3766							-6.92308
44			1		-3.88921	1.61184	5.74266	-15.1977	-14.8049	-2.29923									-10.7619							-2.84481
45			1		3.83494	-0.0949914	3.77595	7.89199	13.0591	4.95685									8.37052							3.69541
46			1		-29.2039	-25.1074	-29.0964	-83.7073	-79.3259	-82.5742									-78.7476							-23.7189
47			1		14.7829	15.227	11.0445	34.1085	38.974	44.3024									40.7197							15.2354
48			1		-29.3565	-13.7979	-19.2702	-77.5722	-73.1131	-88.4406									-76.7613							-25.7866
49			1		-33.3863	-43.6396	-37.8578	-116.567	-115.788	-113.193									-116.614							-37.6636
50			1		-18.3175	-24.1404	-20.0457	-51.3062	-56.1282	-47.9197									-52.9689							-18.9162
51			1		-4.85593	-7.4931	-14.6201	-28.5935	-31.0675	-21.3241									-24.4373							-9.88442
52			1		-0.765261	-13.7554	-9.83982	-23.778	-21.9984	-22.6303									-21.4778							-5.51678
53			1		1.76791	0.812639	-1.05001	-0.799572	2.05453	-0.388443									-1.09453							-2.37318
54			1		1.67798	-12.5522	-11.7215	-15.6549	-25.4086	-27.8312									-19.3655							-6.76663
55			1		-45.5712	-45.1227	-38.1553	-116.041	-114.476	-116.503									-114.381							-37.2223
56			1		31.8808	27.8012	32.8471	75.2697	81.8638	79.9612									70.7905							21.2677
57			1		-10.1771	9.27326	0.639696	-12.9746	-8.35271	-18.4408									-13.8591							-0.354761
58			1		-4.6562	-19.9518	-22.9039	-47.8873	-46.9961	-38.7887									-47.3639							-13.4545
59			1		-0.869489	5.56411	13.4736	-17.2268	-9.78639	5.27276									-6.83474							0.682649
60			1		28.2656	25.1222	31.0977	70.0013	60.3635	66.3741									65.0001							23.1253
61			1		13.0554	20.0469	11.2662	49.8028	54.6701	44.7978									49.3326							16.9116
62			1		-12.4581	-25.4466	-26.0078	-65.9592	-68.2761	-63.4227									-67.4822							-21.8178
63			1		25.5232	17.6673	19.2839	46.5289	36.9175	39.4547									35.2049							12.9638
64			1		12.0169	21.0843	19.2572	52.4323	54.2369	50.4664									47.7247							13.6062
65			1		-15.0673	-16.6895	-19.5722	-42.7375	-40.9954	-34.9044									-41.9109							-14.5091
66			1		12.276	10.8994	12.5849	24.84	25.473	28.9334									26.0896							9.72698
67			1		-22.456	-11.1453	-20.3975	-55.7354	-56.643	-53.2802									-50.3522							-14.094
68			1		18.585	32.9498	34.8492	85.6324	70.3513	73.0844									75.1732							26.2328
69			1		-6.73861	-12.032	-14.4185	-33.8022	-38.8969	-32.6836									-35.8116							-11.2094
70			1		28.3675	36.5401	37.9773	92.8099	98.8763	85.4278									85.1471							29.5027
71			1		-24.9034	-21.2805	-21.7591	-67.9198	-66.3558	-73.5472									-68.2353							-21.1369
72			1		0.0843449	-16.4265	-13.4431	-30.599	-29.0948	-22.4866									-29.365							-11.2001
73			1		12.4017	7.43562	-0.0394516	38.7703	35.3635	40.0165									39.657							12.4024
74			1		-31.3433	-26.2074	-32.1213	-101.308	-105.71	-108.673									-103.446							-33.2559
75			1		41.5138	31.8339	39.1678	108.318	102.029	97.4337									107.44							37.3358
76			1		19.6748	14.788	13.6952	57.037	57.1002	58.1483									54.6165							17.9612
77			1		5.97694	8.00531	12.1271	22.6168	27.1271	32.7358									22.9473							5.59593
78			1		0.615937	6.68389	5.47597	27.8007	19.8572	14.363									22.9422							6.33409
79			1		8.39694	4.42634	-3.98184	9.99926	3.48349	8.53145									4.71359							0.40778
80			1		3.11095	-3.99904	-14.0425	-37.7002	-26.4619	-27.2561									-25.019							-9.99307
81			1		-2.95846	10.5445	7.42279	7.14161	10.3117	13.3261									10.8468							1.59037
82			1		40.8322	33.4456	42.2513	110.621	110.183	118.806									109.064							38.5194
83			1		0.628521	3.1067	7.49553	17.9679	21.3948	23.5912									17.0223							4.06685
84			1		-16.5716	-0.707442	-19.4135	-32.79	-31.5739	-29.2404									-33.2212							-11.8948
85			1		-3.65453	-2.6857	-4.18621	-7.61335	-18.5175	-16.5843									-15.3954							-6.61621
86			1		-4.39635	7.70099	2.81811	-7.25088	-5.99285	2.52316									2.15837							1.33934
87			1		39.7063	40.7199	42.3036	128.245	130.904	135.861									129.494							44.5248
88			1		14.6091	8.53419	4.53088	31.316	26.6456	20.5873									28.9824							10.7307
89			1		3.36652	10.8178	16.106	26.2323	20.2566	16.9712									22.782							8.2639
90			1		-15.1699	-16.8073	-7.63404	-45.229	-49.3893	-43.5441									-51.0371							-16.3902
91			1		23.7624	26.9616	24.1667	63.4464	69.2851	66.4267									67.0191							23.6572
92			1		-43.621	-36.0761	-36.9272	-93.6424	-99.7335	-89.3596									-97.8921							-33.2625
93			1		1.69576	-7.90498	1.96091	-5.46991	-6.54569	-13.284									-8.36297							-5.49632
94			1		-10.7146	-10.6787	-13.5203	-25.3353	-32.6839	-37.2192									-31.1192							-10.143
95			1		-24.004	-23.2452	-32.9175	-78.762	-89.6107	-86.8346									-84.8707							-25.4817
96			1		-1.62623	-4.18155	-23.1114	-37.3006	-40.3154	-42.4304									-39.9625							-15.0246
97			1		-43.8281	-36.7105	-38.8338	-133.139	-125.349	-122.748									-129.689							-41.7196
98			1		-8.82689	-7.69421	-20.5962	-20.5476	-19.9369	-19.315									-24.0653							-8.53813
99			1		23.6802	35.4655	37.8243	86.3686	76.2095	83.4528									83.1844							30.3961
100			1		-6.15457	-0.481671	-2.52699	-17.83	-15.8804	-17.149									-19.0444							-4.63065
