Time	FINAL TIME	INITIAL TIME	SAVEPER	TIME STEP	y1	y2	y3	y4	y5	y6	β12	β21	δ1	δ2	δ4	δ5	δ6	ε3	ζ1	ζ2	η1	η2	λ1	λ2	λ3	λ7	λ8	λ9
19			1		186.116	180.809	213.097	283.926	299.208	287.043									46.6589	61.225	193.356	293.252						
20			1		157.344	170.654	183.373	221.141	250.819	234.462									43.8664	44.7684	165.777	243.7						
21			1		174.075	130.569	171.957	246.342	239.439	248.608									37.6573	46.7134	152.73	229.99						
22			1		250.507	167.226	203.627	291.211	249.37	264.835									50.0818	54.9242	193.57	287.208						
23			1		112.409	164.134	170.929	234.627	217.303	244.134									34.8353	56.8677	158.377	246.92						
24			1		209.668	204.385	190.845	296.746	326.974	262.043									54.1182	51.7842	199.8	291.544						
25			1		196.373	190.748	219.798	294.331	324.638	283.801									53.7846	46.9459	193.323	278.934						
26			1		181.431	217.977	216.562	283.722	324.173	245.898									44.8376	62.9174	190.561	291.59						
27			1		152.998	218.037	249.779	296.037	292.126	310.091									54.3619	57.3914	207.434	306.313						
28			1		178.152	178.544	177.246	251.752	246.855	249.708									52.0799	40.1973	180.696	257.033						
29			1		207.593	205.189	214.268	309.82	294.622	296.653									51.3629	57.567	200.16	297.759						
30			1		148.502	176.729	215.441	308.485	249.94	254.702									48.2323	41.0823	172.187	247.707						
31			1		174.661	227.452	206.22	261.856	250.559	289.054									45.9756	52.7262	180.662	269.52						
32			1		272.737	290.383	262.924	420.676	369.444	368.455									67.9427	72.8161	260.525	385.446						
33			1		169.195	144.74	145.908	282.631	255.029	266.594									39.6016	52.2478	164.561	249.72						
34			1		191.397	162.174	150.667	223.242	230.506	268.891									42.7292	44.7676	163.007	240.376						
35			1		167.242	176.011	226.757	277.944	260.38	248.172									46.9606	46.312	175.064	256.388						
36			1		157.471	132.026	172.301	198.167	207.157	266.166									36.326	46.7784	149.442	226.108						
37			1		233.591	218.363	248.615	254.771	327.274	346.886									62.5942	50.3862	219.203	313.43						
38			1		167.199	226.076	189.222	304.528	323.76	289.366									48.3973	55.5022	190.619	284.245						
39			1		202.443	203.443	207.46	280.675	244.5	307.352									53.0643	54.1455	200.102	294.268						
40			1		197.438	206.762	190.905	288.929	308.614	297.772									53.0775	55.7954	202.15	298.375						
41			1		203.747	118.655	191.014	176.786	236.715	205.133									45.2419	25.6135	145.301	199.974						
42			1		206.059	157.666	151.995	261.935	221.586	241.14									42.834	46.5385	165.032	244.577						
43			1		202.61	223.264	169.19	242.791	244.755	307.283									47.9112	48.5776	180.327	264.97						
44			1		171.339	190.693	176.712	277.804	303.639	263.128									50.2791	51.8477	190.291	280.196						
45			1		138.513	118.569	107.501	187.889	209.796	193.555									39.0301	38.1405	145.456	212.688						
46			1		194.48	173.567	169.59	257.988	282.316	308.958									49.0951	57.6177	194.522	291.044						
47			1		213.688	186.326	156.737	217.546	239.841	163.203									42.8602	37.1067	153.745	221.6						
48			1		155.199	184.107	166.961	253.501	257.392	270.369									58.5546	31.1682	185.078	253.262						
49			1		152.367	172.841	197.387	263.042	238.932	279.974									51.1973	40.5419	178.489	254.728						
50			1		218.229	182.594	232.353	271.804	259.434	308.151									60.057	45.0578	206.273	292.585						
51			1		166.356	185.933	182.912	284.799	293.697	290.537									59.503	47.2416	207.549	296.3						
52			1		222.477	213.164	236.673	298.146	312.417	300.202									58.2822	48.8134	206.548	296.671						
53			1		196.279	200.432	229.878	335.418	286.649	274.536									66.8892	46.6167	225.206	316.865						
54			1		83.1404	117.977	109.074	170.257	178.08	167.945									33.3022	31.3888	122.642	178.56						
55			1		286.187	311.416	288.456	387.253	420.224	410.711									71.2262	60.6339	253.519	364.857						
56			1		186.469	143.301	74.3551	220.24	243.35	192.909									30.3554	49.8226	138.329	215.818						
57			1		190.308	175.547	187.792	308.009	312.465	353.503									67.5965	43.2728	222.795	310.626						
58			1		204.795	244.343	135.975	214.847	252.049	327.345									46.8957	50.3413	180.388	266.807						
59			1		237.434	267.311	205.571	359.508	311.319	341.372									60.2806	61.5626	227.449	334.502						
60			1		194.652	150.748	171.964	275.577	299.913	250.552									42.2876	58.4558	178.975	273.226						
61			1		202.261	199.455	210.261	311.192	299.608	323.875									68.7194	39.0911	220.405	303.577						
62			1		281.6	289.683	239.65	422.801	374.743	387.43									75.1189	56.4819	258.082	366.181						
63			1		225.701	216.566	222.842	306.314	315.337	296.484									46.8215	56.8031	188.311	282.776						
64			1		164.984	150.571	183.968	249.676	258.387	288.842									48.8836	42.7455	175.886	253.809						
65			1		211.941	220.369	190.623	295.911	299.075	316.378									55.0981	54.8635	206.079	302.159						
66			1		151.797	105.536	96.7027	180.501	175.963	192.777									33.276	42.953	137.053	207.417						
67			1		199.077	208.574	147.866	314.003	237.597	251.263									34.7045	63.1164	165.492	261.707						
68			1		198.516	186.583	191.712	297.597	272.124	303.19									58.9416	44.3953	202.629	287.55						
69			1		235.205	242.391	183.212	343.087	373.419	306.176									47.7296	64.7514	200.018	304.773						
70			1		154.882	152.489	131.476	227.728	235.548	199.591									42.4669	39.4316	155.6	226.151						
71			1		210.48	225.397	257.789	322.165	329.685	362.727									72.5689	44.3999	236.612	328.335						
72			1		170.605	133.23	207.688	286.294	269.26	292.525									49.9987	56.2012	195.439	290.728						
73			1		211.752	182.183	158.12	255.87	233.864	219.045									53.8253	33.372	176.509	245.183						
74			1		203.909	240.578	208.581	350.759	319.314	296.337									58.356	68.6679	231.418	346.37						
75			1		191.622	186.158	211.152	320.069	320.385	325.626									53.4272	58.9806	207.488	307.967						
76			1		205.148	225.757	223.899	282.867	305.419	333.462									50.762	52.798	193.101	284.52						
77			1		164.798	158.758	182.748	273.118	233.401	205.93									38.5637	53.167	163.049	248.826						
78			1		247.568	205.527	244.926	349.602	317.023	342.263									65.9783	50.2039	227.475	323.174						
79			1		276.493	226.276	271.324	277.425	333.617	329.646									76.208	45.0035	246.523	340.831						
80			1		210.686	195.077	196.294	231.367	247.218	262.29									40.9023	50.7952	165.915	249.893						
81			1		197.507	241.535	190.405	344.495	342.303	385.42									54.6256	69.2597	222.875	336.71						
82			1		168.283	190.227	197.192	264.462	281.596	292.579									43.1233	52.0334	173.084	259.734						
83			1		212.851	119.32	169.229	234.505	240.586	252.254									40.6464	44.0526	156.914	232.349						
84			1		217.563	210.061	220.177	323.095	268.574	278.24									55.9234	46.6919	197.91	284.185						
85			1		191.678	167.264	150.572	195.467	201.757	244.337									38.5286	50.6697	159.87	242.514						
86			1		172.032	179.95	170.653	295.285	308.581	333.367									40.3629	72.2624	191.056	301.53						
87			1		202.379	182.362	197.313	323.067	299.715	269.424									57.7567	55.3654	213.362	311.399						
88			1		181.115	207.556	158.297	273.398	243.52	227.093									40.2052	54.132	168.346	256.147						
89			1		181.051	226.918	173.805	290.609	269.808	299.034									52.4407	41.8049	183.137	261.569						
90			1		219.114	205.14	182.83	287.076	316.269	301.977									50.2105	61.8286	202.592	304.939						
91			1		100.996	96.7405	124.541	192.694	162.239	214.108									29.283	33.3688	115.064	171.445						
92			1		207.728	257.058	260.402	325.443	320.064	286.372									64.3842	47.2518	219.772	310.978						
93			1		175.887	161.679	175.115	288.126	251.383	228.707									48.8568	44.9285	178.565	259.207						
94			1		190.313	141.951	137.002	282.759	228.515	242.396									52.9554	37.2592	179.13	252.215						
95			1		299.061	204.412	270.402	349.613	334.538	323.964									76.7967	42.4877	244.846	336.303						
96			1		176.066	165.449	128.369	193.117	232.064	245.072									45.7831	29.1402	151.02	210.364						
97			1		184.676	120.167	188.202	279.868	282.921	286.03									49.4225	45.7309	180.457	262.279						
98			1		198.022	209.817	132.656	288.329	237.534	273.75									36.5683	65.198	172.675	272.408						
99			1		197.904	187.677	151.397	266.348	276.096	269.752									46.9522	47.6847	177.159	260.275						
100			1		151.357	212.979	212.969	316.47	285.418	308.484									47.0645	69.4979	204.258	314.608						
